[null, null, null, null, 套型, 使用面积, 不小于, 30, ㎡]
[null, null, null, null, 最小套型, 使用面积, 不小于, 22, ㎡]
[null, null, null, null, 双人卧室, 使用面积, 不小于, 9, ㎡]
[null, null, null, null, 单人卧室, 使用面积, 不小于, 5, ㎡]
[null, 卧室, 兼, 起居, 卧室, 使用面积, 不小于, 12, ㎡]
[null, null, null, null, 起居室, 使用面积, 不小于, 10, ㎡]
[起居室, 墙面, 布置, 家具, 墙面, 直线长度, 大于, 3, m]
[null, 餐厅, 无, 直接采光, 餐厅, 使用面积, 不大于, 10, ㎡]
[null, 过厅, 无, 直接采光, 过厅, 使用面积, 不大于, 10, ㎡]
[套型, 厨房, null, null, 厨房, 使用面积, 不小于, 4.0, ㎡]
[最小套型, 厨房, null, null, 厨房, 使用面积, 不小于, 3.5, ㎡]
[null, 厨房, 单排布置, 设备, 厨房, 净宽, 不小于, 1.50, m]
[null, 厨房, 双排布置, 设备, 两排设备, 净距, 不小于, 0.90, m]
[null, 卫生间, 集中配置, 三件卫生设备, 卫生间, 使用面积, 不小于, 2.50, ㎡]
[null, null, null, null, 住宅, 层高, 为, 2.80, m]
[null, null, null, null, 卧室, 室内净高, 不低于, 2.40, m]
[null, null, null, null, 起居室, 室内净高, 不低于, 2.40, m]
[null, null, null, null, 卧室, 局部净高, 不低于, 2.10, m]
[null, null, null, null, 起居室, 局部净高, 不低于, 2.10, m]
[null, null, null, null, 厨房, 室内净高, 不低于, 2.20, m]
[null, null, null, null, 卫生间, 室内净高, 不低于, 2.20, m]
[厨房, 排水横管, null, null, 排水横管, 净距, 不低于, 1.90, m]
[卫生间, 排水横管, null, null, 排水横管, 净距, 不低于, 1.90, m]
[阳台栏杆, 垂直杆件, null, null, 垂直杆件, 净距, 不大于, 0.11, m]
[六层及六层以下, 阳台栏板, null, null, 阳台栏板, 净高, 不低于, 1.05, m]
[六层及六层以下, 阳台栏杆, null, null, 阳台栏杆, 净高, 不低于, 1.05, m]
[七层及七层以上, 阳台栏板, null, null, 阳台栏板, 净高, 不低于, 1.10, m]
[七层及七层以上, 阳台栏杆, null, null, 阳台栏杆, 净高, 不低于, 1.10, m]
[null, null, null, null, 入口过道, 净宽, 不小于, 1.20, m]
[null, 过道, 通往, 卧室, 过道, 净宽, 不小于, 1.00, m]
[null, 过道, 通往, 起居室, 过道, 净宽, 不小于, 1.00, m]
[null, 过道, 通往, 厨房, 过道, 净宽, 不小于, 0.90, m]
[null, 过道, 通往, 卫生间, 过道, 净宽, 不小于, 0.90, m]
[null, 过道, 通往, 贮藏室, 过道, 净宽, 不小于, 0.90, m]
[楼梯, 一边, 临, 空, 梯段, 净宽, 不小于, 0.75, m]
[楼梯, 两侧, 有, 墙, 梯段, 净宽, 不小于, 0.75, m]
[楼梯, 踏步, null, null, 踏步, 宽度, 不小于, 0.22, m]
[楼梯, 踏步, null, null, 踏步, 高度, 不小于, 0.20, m]
[null, null, null, null, 扇形踏步, 转角距扶手中心0.25m处宽度, 不小于, 0.22, m]
[楼梯, 梯段, null, null, 梯段, 净宽, 不小于, 1.10, m]
[不超过六层的住宅, 梯段, 一边设有, 栏杆, 梯段, 净宽, 不小于, 1.00, m]
[楼梯, 踏步, null, null, 踏步, 宽度, 不小于, 0.26, m]
